OBJECTID,adcode,name,OBJECTID1,编码,省份,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,type1,type2,Shape_Length,Shape_Area
1,110000,北京市,1,11000000,北京市,0,0,1,1058,0,9,,,7.791988055957414,1.7391013439945038
2,120000,天津市,2,12000000,天津市,0,0,1,390,0,3,,,6.56761331170688,1.2798090601840222
3,130000,河北省,3,13000000,河北省,0,0,0,1317,0,7,,,43.05924937022302,19.75568856485794
4,140000,山西省,4,14000000,山西省,0,0,0,251,0,0,,,22.739040243042034,15.989232281120122
5,150000,内蒙古自治区,5,15000000,内蒙古自治区,0,0,0,384,0,1,,,129.04214063312202,128.8856826351968
6,210000,辽宁省,6,21000000,辽宁省,0,0,1,425,0,2,,,28.924995398408235,15.880823107873054
7,220000,吉林省,7,22000000,吉林省,0,0,0,573,0,3,,,36.19528641305088,21.31945845723598
8,230000,黑龙江省,8,23000000,黑龙江省,0,0,0,1611,0,13,,,63.587145575516494,54.6714001263124
9,310000,上海市,9,31000000,上海市,0,1,4,2066,0,7,,,6.50718040506812,0.7291148367789883
10,320000,江苏省,10,32000000,江苏省,0,0,0,722,0,0,,,23.1597384105639,10.006161827735294
11,330000,浙江省,11,33000000,浙江省,0,0,1,1362,0,1,,,21.650717661964322,9.855202993482473
12,340000,安徽省,12,34000000,安徽省,0,1,1,1002,0,6,,,26.298905816178067,13.350318977264505
13,350000,福建省,13,35000000,福建省,0,0,2,612,0,1,,,24.98990269504824,11.221573071393916
14,360000,江西省,14,36000000,江西省,0,0,0,937,0,1,,,24.428570394270007,15.271025546749568
15,370000,山东省,15,37000000,山东省,0,0,0,883,0,7,,,28.185542681962506,15.803268558395285
16,410000,河南省,16,41000000,河南省,0,0,0,1314,0,22,,,27.37052248229922,16.131381088163995
17,420000,湖北省,17,42000000,湖北省,0,0,0,68159,0,4512,,,31.28070211636066,17.58445001878153
18,430000,湖南省,18,43000000,湖南省,0,0,0,1049,0,4,,,31.661880230200726,19.36849652528964
19,440000,广东省,19,44140000,广东省,0,0,3,2409,0,8,,,34.38159706854542,15.985167543602977
20,450000,广西壮族自治区,20,45000000,广西壮族自治区,0,0,0,275,0,2,,,31.035656040794393,21.04853302763118
21,460000,海南省,21,46000000,海南省,0,0,0,188,0,6,,,14.93261544529402,3.3859270432704545
22,500000,重庆市,22,50000000,重庆市,0,0,0,598,0,6,,,23.74482738849844,7.709646471318434
23,510000,四川省,23,51000000,四川省,0,0,4,1012,0,3,,,53.68580421259556,45.76975667724359
24,520000,贵州省,24,52000000,贵州省,0,0,0,147,0,2,,,29.749737997890787,16.001778809586497
25,530000,云南省,25,53000000,云南省,0,0,1,352,0,2,,,51.4550868367449,34.27715852268181
26,540000,西藏自治区,26,54000000,西藏自治区,0,0,0,1,0,0,,,70.65248729867406,114.22635582941024
27,610000,陕西省,27,61000000,陕西省,0,0,0,609,0,3,,,35.42429538779733,20.385755736771078
28,620000,甘肃省,28,62000000,甘肃省,0,0,0,193,0,2,,,74.55372891928658,43.65255526142007
29,630000,青海省,29,62000000,青海省,0,0,0,18,0,0,,,56.96203279850042,69.39847930769355
30,640000,宁夏回族自治区,30,64000000,宁夏回族自治区,0,0,0,76,0,0,,,16.537998028984457,5.288977125681047
31,650000,新疆维吾尔自治区,31,65000000,新疆维吾尔自治区,0,0,0,980,0,3,,,80.72368260632543,175.10146009842805
32,710000,台湾省,32,71000000,台湾省,0,0,723,3862,2,17,,,9.350549086097068,3.381774533788389
33,810000,香港特别行政区,34,81000000,香港特别行政区,0,0,1,11830,0,210,,,1.9714110570471242,0.10906663857198397
34,820000,澳门特别行政区,33,82000000,澳门特别行政区,0,0,0,50,0,0,,,0.25348568866250076,0.0025663046660034097
